mes,producto,codCliente,nombreCliente,categoria,departamento,montoVenta
2022-10-24,Consola,5662,Ulises del Dios Henriquez,Entretenimiento,San Miguel,950
2023-12-17,Cocina,1804,Carlos Antonio Gomez Chavarria,Otros,Santa Ana,400
2023-02-11,Celular,3312,Rene Quinteros Zamora,Portatil,San Salvador,390
2022-09-15,Consola,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,San Miguel,950
2023-01-11,Ventilador,4976,Yazmin Veronica Ramirez,Otros,Cojutepeque,75
2022-12-13,DVD,4976,Yazmin Veronica Ramirez,Entretenimiento,La Libertad,150
2022-05-20,Cafetera,1804,Carlos Antonio Gomez Chavarria,Otros,San Salvador,85
2024-03-07,Radio,2422,Rosa Maria Guevara Elias,Portatil,Chalatenango,150
2022-02-06,Consola,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Santa Ana,950
2023-06-07,Ventilador,4976,Yazmin Veronica Ramirez,Otros,Chalatenango,75
2022-06-01,Radio,5662,Ulises del Dios Henriquez,Portatil,La Paz,150
2024-03-28,Asistente inteligente,4976,Yazmin Veronica Ramirez,Entretenimiento,Santa Ana,100
2023-07-03,Consola,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,San Miguel,950
2023-05-02,DVD,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Usulutan,150
2023-03-21,Computadora,4976,Yazmin Veronica Ramirez,Portatil,San Miguel,1150
2022-07-20,Radio,1804,Carlos Antonio Gomez Chavarria,Portatil,San Salvador,150
2023-05-11,Consola,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,La Libertad,950
2023-05-04,DVD,5662,Ulises del Dios Henriquez,Entretenimiento,La Libertad,150
2022-07-31,Televisor,4976,Yazmin Veronica Ramirez,Entretenimiento,San Salvador,500
2023-12-07,Bocina,2422,Rosa Maria Guevara Elias,Entretenimiento,Usulutan,159
2023-01-17,Radio,4976,Yazmin Veronica Ramirez,Portatil,Usulutan,150
2022-03-09,DVD,5662,Ulises del Dios Henriquez,Entretenimiento,Chalatenango,150
2022-04-03,Consola,4976,Yazmin Veronica Ramirez,Entretenimiento,Santa Ana,950
2023-06-03,Plancha,3312,Rene Quinteros Zamora,Otros,San Salvador,35
2023-04-03,Asistente inteligente,3312,Rene Quinteros Zamora,Entretenimiento,La Libertad,100
2024-01-01,Radio,2422,Rosa Maria Guevara Elias,Portatil,Chalatenango,150
2022-08-29,Plancha,2422,Rosa Maria Guevara Elias,Otros,La Libertad,35
2023-03-15,Plancha,5662,Ulises del Dios Henriquez,Otros,Cojutepeque,35
2022-03-13,Computadora,1804,Carlos Antonio Gomez Chavarria,Portatil,Chalatenango,1150
2022-09-28,Ventilador,1804,Carlos Antonio Gomez Chavarria,Otros,San Salvador,75
2022-07-05,Televisor,4976,Yazmin Veronica Ramirez,Entretenimiento,San Salvador,500
2023-05-24,Consola,4976,Yazmin Veronica Ramirez,Entretenimiento,Cojutepeque,950
2023-12-11,Cafetera,1804,Carlos Antonio Gomez Chavarria,Otros,Santa Ana,85
2023-05-23,Celular,5662,Ulises del Dios Henriquez,Portatil,Usulutan,390
2023-12-21,Consola,3312,Rene Quinteros Zamora,Entretenimiento,Usulutan,950
2024-01-17,Televisor,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Santa Ana,500
2023-07-17,Plancha,2422,Rosa Maria Guevara Elias,Otros,Cojutepeque,35
2023-02-16,Televisor,4976,Yazmin Veronica Ramirez,Entretenimiento,Chalatenango,500
2022-05-06,Cocina,1804,Carlos Antonio Gomez Chavarria,Otros,San Salvador,400
2024-03-17,Consola,4976,Yazmin Veronica Ramirez,Entretenimiento,Chalatenango,950
2024-04-05,Ventilador,4976,Yazmin Veronica Ramirez,Otros,La Paz,75
2022-12-18,Plancha,4976,Yazmin Veronica Ramirez,Otros,La Paz,35
2022-07-15,Televisor,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Santa Ana,500
2023-03-21,Televisor,3312,Rene Quinteros Zamora,Entretenimiento,Santa Ana,500
2022-12-04,Consola,2422,Rosa Maria Guevara Elias,Entretenimiento,San Miguel,950
2023-03-24,Cocina,3312,Rene Quinteros Zamora,Otros,Santa Ana,400
2024-04-02,Cafetera,4976,Yazmin Veronica Ramirez,Otros,La Libertad,85
2023-09-21,DVD,2422,Rosa Maria Guevara Elias,Entretenimiento,La Libertad,150
2023-03-31,Cocina,2422,Rosa Maria Guevara Elias,Otros,Cojutepeque,400
2023-10-26,Consola,3312,Rene Quinteros Zamora,Entretenimiento,San Miguel,950
2022-06-30,Cocina,4976,Yazmin Veronica Ramirez,Otros,La Paz,400
2023-11-18,Televisor,5662,Ulises del Dios Henriquez,Entretenimiento,Chalatenango,500
2023-10-31,Televisor,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Cojutepeque,500
2022-11-11,Consola,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Usulutan,950
2023-03-26,Cafetera,4976,Yazmin Veronica Ramirez,Otros,San Salvador,85
2024-02-09,Ventilador,5662,Ulises del Dios Henriquez,Otros,Usulutan,75
2023-02-23,Bocina,4976,Yazmin Veronica Ramirez,Entretenimiento,San Miguel,159
2023-06-15,Asistente inteligente,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Usulutan,100
2022-10-02,Televisor,5662,Ulises del Dios Henriquez,Entretenimiento,Santa Ana,500
2023-10-02,Cafetera,1804,Carlos Antonio Gomez Chavarria,Otros,Chalatenango,85
2023-09-05,Celular,4976,Yazmin Veronica Ramirez,Portatil,Chalatenango,390
2022-05-14,Radio,1804,Carlos Antonio Gomez Chavarria,Portatil,Santa Ana,150
2023-04-29,Computadora,2422,Rosa Maria Guevara Elias,Portatil,La Libertad,1150
2022-01-24,Bocina,5662,Ulises del Dios Henriquez,Entretenimiento,San Miguel,159
2023-03-23,Asistente inteligente,5662,Ulises del Dios Henriquez,Entretenimiento,Cojutepeque,100
2022-09-17,Radio,2422,Rosa Maria Guevara Elias,Portatil,Cojutepeque,150
2024-02-20,Consola,3312,Rene Quinteros Zamora,Entretenimiento,Chalatenango,950
2023-12-04,Bocina,5662,Ulises del Dios Henriquez,Entretenimiento,San Salvador,159
2024-03-01,Celular,4976,Yazmin Veronica Ramirez,Portatil,San Salvador,390
2023-05-21,Consola,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,La Paz,950
2022-10-05,Cocina,4976,Yazmin Veronica Ramirez,Otros,Santa Ana,400
2022-04-23,Computadora,3312,Rene Quinteros Zamora,Portatil,Santa Ana,1150
2022-12-16,Consola,4976,Yazmin Veronica Ramirez,Entretenimiento,Chalatenango,950
2022-06-17,Bocina,4976,Yazmin Veronica Ramirez,Entretenimiento,La Libertad,159
2024-02-14,Consola,5662,Ulises del Dios Henriquez,Entretenimiento,Cojutepeque,950
2023-01-03,DVD,2422,Rosa Maria Guevara Elias,Entretenimiento,La Libertad,150
2023-11-05,Televisor,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Santa Ana,500
2023-05-18,Plancha,4976,Yazmin Veronica Ramirez,Otros,San Miguel,35
2022-09-16,Ventilador,4976,Yazmin Veronica Ramirez,Otros,La Paz,75
2023-05-29,Asistente inteligente,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Santa Ana,100
2022-02-20,Celular,1804,Carlos Antonio Gomez Chavarria,Portatil,Chalatenango,390
2024-02-22,Celular,1804,Carlos Antonio Gomez Chavarria,Portatil,Chalatenango,390
2023-07-21,DVD,4976,Yazmin Veronica Ramirez,Entretenimiento,La Paz,150
2023-06-22,Ventilador,1804,Carlos Antonio Gomez Chavarria,Otros,Chalatenango,75
2023-10-18,Computadora,1804,Carlos Antonio Gomez Chavarria,Portatil,San Salvador,1150
2022-08-09,Plancha,1804,Carlos Antonio Gomez Chavarria,Otros,Santa Ana,35
2023-07-18,Bocina,4976,Yazmin Veronica Ramirez,Entretenimiento,Chalatenango,159
2023-09-10,Ventilador,4976,Yazmin Veronica Ramirez,Otros,Santa Ana,75
2022-04-02,Celular,2422,Rosa Maria Guevara Elias,Portatil,Cojutepeque,390
2022-01-06,Consola,5662,Ulises del Dios Henriquez,Entretenimiento,Santa Ana,950
2023-06-29,Consola,5662,Ulises del Dios Henriquez,Entretenimiento,San Miguel,950
2024-04-09,Asistente inteligente,5662,Ulises del Dios Henriquez,Entretenimiento,Usulutan,100
2023-01-16,DVD,4976,Yazmin Veronica Ramirez,Entretenimiento,Usulutan,150
2023-08-03,Celular,3312,Rene Quinteros Zamora,Portatil,San Salvador,390
2023-10-07,Radio,3312,Rene Quinteros Zamora,Portatil,San Miguel,150
2023-11-29,Ventilador,1804,Carlos Antonio Gomez Chavarria,Otros,Santa Ana,75
2024-02-07,DVD,4976,Yazmin Veronica Ramirez,Entretenimiento,Santa Ana,150
2024-01-19,Asistente inteligente,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,San Salvador,100
2023-03-22,Televisor,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Cojutepeque,500
2023-12-31,Televisor,2422,Rosa Maria Guevara Elias,Entretenimiento,San Salvador,500
2022-06-29,Cocina,4976,Yazmin Veronica Ramirez,Otros,San Miguel,400
2022-02-19,Cocina,1804,Carlos Antonio Gomez Chavarria,Otros,San Salvador,400
2022-12-29,Computadora,1804,Carlos Antonio Gomez Chavarria,Portatil,Cojutepeque,1150
2022-05-28,Consola,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,La Paz,950
2024-03-13,Bocina,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,San Salvador,159
2023-07-19,Cocina,1804,Carlos Antonio Gomez Chavarria,Otros,Usulutan,400
2023-03-16,Radio,4976,Yazmin Veronica Ramirez,Portatil,San Miguel,150
2022-02-01,Computadora,3312,Rene Quinteros Zamora,Portatil,Cojutepeque,1150
2023-10-23,Computadora,4976,Yazmin Veronica Ramirez,Portatil,La Paz,1150
2022-09-03,Bocina,5662,Ulises del Dios Henriquez,Entretenimiento,La Libertad,159
2022-05-23,Consola,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,San Salvador,950
2022-02-04,Ventilador,1804,Carlos Antonio Gomez Chavarria,Otros,Usulutan,75
2023-04-12,Celular,3312,Rene Quinteros Zamora,Portatil,Chalatenango,390
2023-02-24,Celular,5662,Ulises del Dios Henriquez,Portatil,Cojutepeque,390
2022-07-22,Computadora,1804,Carlos Antonio Gomez Chavarria,Portatil,Usulutan,1150
2023-08-19,Radio,3312,Rene Quinteros Zamora,Portatil,San Salvador,150
2024-02-29,Asistente inteligente,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,La Paz,100
2022-01-01,Plancha,1804,Carlos Antonio Gomez Chavarria,Otros,Usulutan,35
2022-01-23,Ventilador,1804,Carlos Antonio Gomez Chavarria,Otros,Cojutepeque,75
2022-10-22,Consola,4976,Yazmin Veronica Ramirez,Entretenimiento,Cojutepeque,950
2023-06-23,Cocina,4976,Yazmin Veronica Ramirez,Otros,San Miguel,400
2022-03-04,DVD,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,San Salvador,150
2023-05-30,Asistente inteligente,2422,Rosa Maria Guevara Elias,Entretenimiento,Usulutan,100
2022-07-11,Computadora,4976,Yazmin Veronica Ramirez,Portatil,Santa Ana,1150
2022-11-06,Bocina,5662,Ulises del Dios Henriquez,Entretenimiento,Cojutepeque,159
2022-02-09,Computadora,2422,Rosa Maria Guevara Elias,Portatil,Chalatenango,1150
2022-04-09,Cocina,4976,Yazmin Veronica Ramirez,Otros,La Libertad,400
2023-07-31,Ventilador,3312,Rene Quinteros Zamora,Otros,San Miguel,75
2023-05-29,DVD,4976,Yazmin Veronica Ramirez,Entretenimiento,Usulutan,150
2024-02-27,Bocina,3312,Rene Quinteros Zamora,Entretenimiento,Chalatenango,159
2022-02-11,Ventilador,3312,Rene Quinteros Zamora,Otros,La Paz,75
2024-01-08,Computadora,1804,Carlos Antonio Gomez Chavarria,Portatil,La Paz,1150
2024-04-02,Celular,5662,Ulises del Dios Henriquez,Portatil,Cojutepeque,390
2022-08-12,Televisor,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Chalatenango,500
2022-02-12,DVD,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Santa Ana,150
2022-12-10,DVD,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,San Salvador,150
2023-07-20,Consola,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,La Paz,950
2022-12-03,Ventilador,5662,Ulises del Dios Henriquez,Otros,Santa Ana,75
2023-01-20,Cocina,4976,Yazmin Veronica Ramirez,Otros,La Libertad,400
2023-08-09,Televisor,5662,Ulises del Dios Henriquez,Entretenimiento,San Salvador,500
2022-04-28,Consola,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,La Paz,950
2022-07-17,DVD,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Chalatenango,150
2023-06-01,Radio,2422,Rosa Maria Guevara Elias,Portatil,La Paz,150
2023-05-27,Bocina,3312,Rene Quinteros Zamora,Entretenimiento,La Libertad,159
2024-02-03,DVD,3312,Rene Quinteros Zamora,Entretenimiento,La Libertad,150
2022-03-10,Cocina,1804,Carlos Antonio Gomez Chavarria,Otros,Usulutan,400
2023-12-12,Ventilador,1804,Carlos Antonio Gomez Chavarria,Otros,La Libertad,75
2022-09-19,DVD,4976,Yazmin Veronica Ramirez,Entretenimiento,Santa Ana,150
2024-04-12,Plancha,5662,Ulises del Dios Henriquez,Otros,San Salvador,35
2023-11-06,Celular,4976,Yazmin Veronica Ramirez,Portatil,Chalatenango,390
2022-04-16,Televisor,3312,Rene Quinteros Zamora,Entretenimiento,Chalatenango,500
2023-08-21,Consola,4976,Yazmin Veronica Ramirez,Entretenimiento,Cojutepeque,950
2023-01-15,Plancha,4976,Yazmin Veronica Ramirez,Otros,San Miguel,35
2023-10-31,Asistente inteligente,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Chalatenango,100
2022-01-06,Televisor,5662,Ulises del Dios Henriquez,Entretenimiento,Chalatenango,500
2023-08-29,Celular,1804,Carlos Antonio Gomez Chavarria,Portatil,Chalatenango,390
2022-03-20,Bocina,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Cojutepeque,159
2023-12-05,Cocina,4976,Yazmin Veronica Ramirez,Otros,Usulutan,400
2023-01-01,Bocina,5662,Ulises del Dios Henriquez,Entretenimiento,La Libertad,159
2023-10-16,Asistente inteligente,3312,Rene Quinteros Zamora,Entretenimiento,La Libertad,100
2023-07-21,Bocina,2422,Rosa Maria Guevara Elias,Entretenimiento,La Libertad,159
2023-12-09,Radio,1804,Carlos Antonio Gomez Chavarria,Portatil,Usulutan,150
2023-05-08,Ventilador,1804,Carlos Antonio Gomez Chavarria,Otros,Santa Ana,75
2022-12-13,Celular,1804,Carlos Antonio Gomez Chavarria,Portatil,Cojutepeque,390
2022-05-04,Televisor,3312,Rene Quinteros Zamora,Entretenimiento,San Salvador,500
2023-03-10,Radio,1804,Carlos Antonio Gomez Chavarria,Portatil,La Paz,150
2022-04-15,Radio,5662,Ulises del Dios Henriquez,Portatil,San Miguel,150
2022-11-01,Televisor,4976,Yazmin Veronica Ramirez,Entretenimiento,San Miguel,500
2022-12-19,Ventilador,2422,Rosa Maria Guevara Elias,Otros,La Paz,75
2022-04-25,Televisor,4976,Yazmin Veronica Ramirez,Entretenimiento,San Miguel,500
2022-12-01,Cocina,1804,Carlos Antonio Gomez Chavarria,Otros,La Paz,400
2023-03-08,Radio,4976,Yazmin Veronica Ramirez,Portatil,San Salvador,150
2024-01-30,Televisor,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Santa Ana,500
2022-09-03,Ventilador,1804,Carlos Antonio Gomez Chavarria,Otros,La Paz,75
2023-02-23,Radio,1804,Carlos Antonio Gomez Chavarria,Portatil,San Miguel,150
2023-10-23,Asistente inteligente,4976,Yazmin Veronica Ramirez,Entretenimiento,La Libertad,100
2022-03-06,Asistente inteligente,2422,Rosa Maria Guevara Elias,Entretenimiento,La Libertad,100
2022-08-20,Radio,4976,Yazmin Veronica Ramirez,Portatil,La Libertad,150
2022-12-18,Computadora,1804,Carlos Antonio Gomez Chavarria,Portatil,Usulutan,1150
2024-01-05,Computadora,2422,Rosa Maria Guevara Elias,Portatil,Santa Ana,1150
2023-10-25,Celular,4976,Yazmin Veronica Ramirez,Portatil,Santa Ana,390
2023-01-08,Bocina,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,La Libertad,159
2024-03-12,Ventilador,4976,Yazmin Veronica Ramirez,Otros,Usulutan,75
2022-10-19,Cafetera,4976,Yazmin Veronica Ramirez,Otros,La Libertad,85
2024-01-01,Televisor,4976,Yazmin Veronica Ramirez,Entretenimiento,Usulutan,500
2022-09-03,Consola,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Chalatenango,950
2023-12-22,Cafetera,4976,Yazmin Veronica Ramirez,Otros,San Salvador,85
2022-10-10,Asistente inteligente,4976,Yazmin Veronica Ramirez,Entretenimiento,San Miguel,100
2023-07-09,Cocina,2422,Rosa Maria Guevara Elias,Otros,Santa Ana,400
2022-06-28,Radio,3312,Rene Quinteros Zamora,Portatil,Santa Ana,150
2022-04-11,Televisor,4976,Yazmin Veronica Ramirez,Entretenimiento,La Libertad,500
2022-04-07,Computadora,1804,Carlos Antonio Gomez Chavarria,Portatil,Chalatenango,1150
2022-04-28,Bocina,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,San Salvador,159
2022-10-14,DVD,4976,Yazmin Veronica Ramirez,Entretenimiento,Santa Ana,150
2022-09-02,Radio,1804,Carlos Antonio Gomez Chavarria,Portatil,San Salvador,150
2022-03-18,Cafetera,2422,Rosa Maria Guevara Elias,Otros,San Salvador,85
2022-01-16,Ventilador,3312,Rene Quinteros Zamora,Otros,Cojutepeque,75
2023-11-29,Cocina,1804,Carlos Antonio Gomez Chavarria,Otros,La Libertad,400
2022-09-17,Cafetera,4976,Yazmin Veronica Ramirez,Otros,La Libertad,85
2023-05-18,DVD,5662,Ulises del Dios Henriquez,Entretenimiento,San Miguel,150
2023-07-25,Cocina,4976,Yazmin Veronica Ramirez,Otros,Chalatenango,400
2023-02-10,Computadora,1804,Carlos Antonio Gomez Chavarria,Portatil,Usulutan,1150
2022-12-28,Bocina,5662,Ulises del Dios Henriquez,Entretenimiento,Cojutepeque,159
2022-07-20,Televisor,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Usulutan,500
2022-12-05,Plancha,1804,Carlos Antonio Gomez Chavarria,Otros,Santa Ana,35
2022-05-16,Radio,2422,Rosa Maria Guevara Elias,Portatil,Usulutan,150
2022-01-14,Computadora,4976,Yazmin Veronica Ramirez,Portatil,Cojutepeque,1150
2022-08-12,Cafetera,1804,Carlos Antonio Gomez Chavarria,Otros,La Libertad,85
2022-06-16,Televisor,4976,Yazmin Veronica Ramirez,Entretenimiento,San Miguel,500
2023-06-19,Ventilador,5662,Ulises del Dios Henriquez,Otros,La Paz,75
2022-08-11,Ventilador,2422,Rosa Maria Guevara Elias,Otros,La Libertad,75
2023-05-22,Asistente inteligente,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Usulutan,100
2022-12-25,Computadora,1804,Carlos Antonio Gomez Chavarria,Portatil,Santa Ana,1150
2023-09-14,DVD,4976,Yazmin Veronica Ramirez,Entretenimiento,Santa Ana,150
2023-10-14,Asistente inteligente,4976,Yazmin Veronica Ramirez,Entretenimiento,San Salvador,100
2023-02-26,Cafetera,4976,Yazmin Veronica Ramirez,Otros,San Miguel,85
2023-08-05,Asistente inteligente,4976,Yazmin Veronica Ramirez,Entretenimiento,Santa Ana,100
2024-03-15,Bocina,4976,Yazmin Veronica Ramirez,Entretenimiento,Cojutepeque,159
2024-03-18,Televisor,4976,Yazmin Veronica Ramirez,Entretenimiento,Cojutepeque,500
2023-01-18,Celular,4976,Yazmin Veronica Ramirez,Portatil,San Salvador,390
2023-09-04,Asistente inteligente,4976,Yazmin Veronica Ramirez,Entretenimiento,San Salvador,100
2023-08-20,Bocina,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Santa Ana,159
2022-05-21,Consola,2422,Rosa Maria Guevara Elias,Entretenimiento,La Libertad,950
2022-09-29,Ventilador,1804,Carlos Antonio Gomez Chavarria,Otros,Usulutan,75
2022-09-04,Celular,4976,Yazmin Veronica Ramirez,Portatil,La Paz,390
2022-08-11,Asistente inteligente,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Santa Ana,100
2022-08-08,Radio,5662,Ulises del Dios Henriquez,Portatil,La Libertad,150
2024-01-08,Ventilador,1804,Carlos Antonio Gomez Chavarria,Otros,San Salvador,75
2023-09-13,Asistente inteligente,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Chalatenango,100
2023-05-11,Computadora,1804,Carlos Antonio Gomez Chavarria,Portatil,San Salvador,1150
2022-12-01,Celular,1804,Carlos Antonio Gomez Chavarria,Portatil,San Miguel,390
2023-03-08,Consola,4976,Yazmin Veronica Ramirez,Entretenimiento,Cojutepeque,950
2022-02-14,Bocina,5662,Ulises del Dios Henriquez,Entretenimiento,San Miguel,159
2022-07-01,DVD,2422,Rosa Maria Guevara Elias,Entretenimiento,La Paz,150
2023-08-31,Televisor,5662,Ulises del Dios Henriquez,Entretenimiento,San Salvador,500
2023-01-21,Plancha,5662,Ulises del Dios Henriquez,Otros,Santa Ana,35
2022-03-27,Computadora,3312,Rene Quinteros Zamora,Portatil,Usulutan,1150
2022-11-24,Radio,4976,Yazmin Veronica Ramirez,Portatil,Cojutepeque,150
2022-08-28,Consola,5662,Ulises del Dios Henriquez,Entretenimiento,Cojutepeque,950
2022-01-11,Plancha,5662,Ulises del Dios Henriquez,Otros,La Paz,35
2023-10-25,Asistente inteligente,4976,Yazmin Veronica Ramirez,Entretenimiento,San Miguel,100
2022-10-27,Computadora,3312,Rene Quinteros Zamora,Portatil,San Salvador,1150
2024-01-10,Bocina,5662,Ulises del Dios Henriquez,Entretenimiento,Usulutan,159
2023-04-22,Radio,1804,Carlos Antonio Gomez Chavarria,Portatil,La Paz,150
2022-04-07,DVD,4976,Yazmin Veronica Ramirez,Entretenimiento,Usulutan,150
2022-07-04,Plancha,1804,Carlos Antonio Gomez Chavarria,Otros,San Miguel,35
2023-12-19,Ventilador,1804,Carlos Antonio Gomez Chavarria,Otros,Cojutepeque,75
2023-01-14,Televisor,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Usulutan,500
2022-08-23,DVD,4976,Yazmin Veronica Ramirez,Entretenimiento,Santa Ana,150
2023-12-16,Radio,3312,Rene Quinteros Zamora,Portatil,La Libertad,150
2023-03-09,Ventilador,1804,Carlos Antonio Gomez Chavarria,Otros,La Libertad,75
2023-07-19,Bocina,4976,Yazmin Veronica Ramirez,Entretenimiento,Cojutepeque,159
2022-07-07,Celular,4976,Yazmin Veronica Ramirez,Portatil,San Salvador,390
2024-04-05,Plancha,5662,Ulises del Dios Henriquez,Otros,Cojutepeque,35
2023-10-04,Cafetera,1804,Carlos Antonio Gomez Chavarria,Otros,Usulutan,85
2023-06-30,Ventilador,1804,Carlos Antonio Gomez Chavarria,Otros,La Paz,75
2022-07-23,Bocina,2422,Rosa Maria Guevara Elias,Entretenimiento,San Salvador,159
2022-07-02,Celular,4976,Yazmin Veronica Ramirez,Portatil,Cojutepeque,390
2022-11-11,Computadora,4976,Yazmin Veronica Ramirez,Portatil,San Miguel,1150
